EU_Position,Party,Name,Constituency ID
Leave,Con,Laurence Robertson,E14000990
Leave,Con,Geoffrey Clifton-Brown,E14000991
Remain,Con,Mark Pritchard,E14000992
Remain,Con,Kevin Hollinrake,E14000993
Remain,Con,Luke Hall,E14000994
Remain,Con,Jackie Doyle-Price,E14000995
Remain,Con,Neil Parish,E14000996
Remain,Con,Thomas Tugendhat,E14000997
Remain,Con,Kevin Foster,E14000999
Leave,Con,Geoffrey Cox,E14001000
Remain,Con,Sarah Wollaston,E14001001
Remain,Lab,David Lammy,E14001002
Remain,Con,Sarah Newton,E14001003
Remain,Con,Greg Clark,E14001004
Remain,Con,Tania Mathias,E14001005
Remain,Lab,Alan Campbell,E14001006
Leave,Con,Boris Johnson,E14001007
Leave,Lab,Kate Hoey,E14001008
Remain,Lab,Mary Creagh,E14001009
Remain,Lab,Angela Eagle,E14001010
Remain,Lab,David Winnick,E14001011
Remain,Lab,Valerie Vaz,E14001012
Remain,Lab,Stella Creasy,E14001013
Remain,Lab,Ian Lavery,E14001014
Remain,Con,Ed Vaizey,E14001015
Remain,Lab,John Spellar,E14001016
Remain,Lab,Helen Jones,E14001017
Remain,Con,David Mowat,E14001018
Remain,Con,Chris White,E14001019
Remain,Lab,Sharon Hodgson,E14001020
Remain,Con,Richard Harrington,E14001021
Remain,Con,Peter Aldous,E14001022
Leave,Con,Nusrat Ghani,E14001023
Remain,Con,Graham Evans,E14001024
Leave,Con,Peter Bone,E14001025
Remain,Con,James Heappey,E14001026
Remain,Con,Grant Shapps,E14001027
Remain,Lab,John Healey,E14001028
Remain,Lab,Tom Watson,E14001029
Remain,Lab,Adrian Bailey,E14001030
Remain,Con,Oliver Letwin,E14001031
Remain,Lab,Lyn Brown,E14001032
ND,Lab,Rosie Cooper,E14001033
Remain,Con,Matthew Hancock,E14001034
Remain,Con,Harriett Baldwin,E14001035
Remain,Lab,Karen Buck,E14001036
Remain,Liberal Democrat,Tim Farron,E14001037
Remain,Con,John Penrose,E14001038
Remain,Lab,Lisa Nandy,E14001039
Remain,Con,Stephen Hammond,E14001040
Remain,Con,Steve Brine,E14001041
Leave,Con,Adam Afriyie,E14001042
Remain,Lab,Alison McGovern,E14001043
Remain,Lab,Margaret Greenwood,E14001044
Leave,Con,Priti Patel,E14001045
Leave,Con,Jonathan Lord,E14001047
Leave,Con,John Redwood,E14001048
Remain,Lab,Emma Reynolds,E14001049
Remain,Lab,Pat McFadden,E14001050
Remain,Lab,Rob Marris,E14001051
Remain,Con,Robin Walker,E14001052
Remain,Lab,Sue Hayman,E14001053
Remain,Lab,Barbara Keeley,E14001054
Remain,Con,Peter Bottomley,E14001055
Leave,Con,Steven Baker,E14001056
Remain,Con,Ben Wallace,E14001057
Remain,Con,Mark Garnier,E14001058
Remain,Lab,Mike Kane,E14001059
Leave,Con,Marcus Fysh,E14001060
Remain,Lab,Rachael Maskell,E14001061
Leave,Con,Julian Sturdy,E14001062
Leave,DUP,Gavin Robinson,N06000001
Leave,DUP,Nigel Dodds,N06000002
Remain,Social Democratic and Labour Party,Alasdair McDonnell,N06000003
Remain,Sinn Féin,Paul Maskey,N06000004
Leave,DUP,Sammy Wilson,N06000005
Leave,DUP,Gregory Campbell,N06000006
Remain,UUP,Tom Elliott,N06000007
Remain,Social Democratic and Labour Party,Mark Durkan,N06000008
Leave,DUP,Jeffrey M. Donaldson,N06000009
Remain,Sinn Féin,Francie Molloy,N06000010
Remain,Sinn Féin,Mickey Brady,N06000011
Leave,DUP,Ian Paisley Jnr,N06000012
Remain,Independent,Sylvia Hermon,N06000013
Remain,UUP,Danny Kinahan,N06000014
Remain,Social Democratic and Labour Party,Margaret Ritchie,N06000015
Leave,DUP,Jim Shannon,N06000016
Leave,DUP,David Simpson,N06000017
Remain,Sinn Féin,Pat Doherty,N06000018
Remain,Scottish National Party,Kirsty Blackman,S14000001
Remain,Scottish National Party,Callum McCaig,S14000002
Remain,Scottish National Party,Neil Gray,S14000003
Remain,Scottish National Party,Michael Weir,S14000004
Remain,Scottish National Party,Brendan O'Hara,S14000005
Remain,Scottish National Party,Corri Wilson,S14000006
Remain,Scottish National Party,Eilidh Whiteford,S14000007
Remain,Scottish National Party,Calum Kerr,S14000008
Remain,Scottish National Party,Paul Monaghan,S14000009
Remain,Scottish National Party,Philippa Whitford,S14000010
Remain,Scottish National Party,Phil Boswell,S14000011
Remain,Scottish National Party,Stuart McDonald,S14000012
Remain,Scottish National Party,Richard Arkless,S14000013
Remain,Con,David Mundell,S14000014
Remain,Scottish National Party,Stewart Hosie,S14000015
Remain,Scottish National Party,Chris Law,S14000016
Remain,Scottish National Party,Douglas Chapman,S14000017
Remain,Scottish National Party,John Nicolson,S14000018
Remain,Scottish National Party,Lisa Cameron,S14000019
Remain,Scottish National Party,George Kerevan,S14000020
Remain,Scottish National Party,Kirsten Oswald,S14000021
Remain,Scottish National Party,Tommy Sheppard,S14000022
Remain,Scottish National Party,Deidre Brock,S14000023
Remain,Lab,Ian Murray,S14000024
Remain,Scottish National Party,Joanna Cherry,S14000025
Remain,Independent,Michelle Thomson,S14000026
Remain,Scottish National Party,Angus MacNeil,S14000027
Remain,Scottish National Party,John McNally,S14000028
Remain,Scottish National Party,Alison Thewliss,S14000029
Remain,Scottish National Party,Natalie McGarry,S14000030
Remain,Scottish National Party,Patrick Grady,S14000031
Remain,Scottish National Party,Anne McLaughlin,S14000032
Remain,Scottish National Party,Carol Monaghan,S14000033
Remain,Scottish National Party,Stewart McDonald,S14000034
Remain,Scottish National Party,Chris Stephens,S14000035
Remain,Scottish National Party,Peter Grant,S14000036
Remain,Scottish National Party,Alex Salmond,S14000037
Remain,Scottish National Party,Ronnie Cowan,S14000038
Remain,Scottish National Party,Drew Hendry,S14000039
Remain,Scottish National Party,Alan Brown,S14000040
Remain,Scottish National Party,Roger Mullin,S14000041
Remain,Scottish National Party,Angela Crawley,S14000042
Remain,Scottish National Party,Martyn Day,S14000043
Remain,Scottish National Party,Hannah Bardell,S14000044
Remain,Scottish National Party,Owen Thompson,S14000045
Remain,Scottish National Party,Angus Robertson,S14000046
Remain,Scottish National Party,Marion Fellows,S14000047
Remain,Scottish National Party,Patricia Gibson,S14000048
Remain,Scottish National Party,Stephen Gethins,S14000049
Remain,Scottish National Party,Tasmina Ahmed-Sheikh,S14000050
Remain,Liberal Democrat,Alistair Carmichael,S14000051
Remain,Scottish National Party,Gavin Newlands,S14000052
Remain,Scottish National Party,Mhairi Black,S14000053
Remain,Scottish National Party,Pete Wishart,S14000054
Remain,Scottish National Party,Ian Blackford,S14000055
Remain,Scottish National Party,Margaret Ferrier,S14000056
Remain,Scottish National Party,Steven Paterson,S14000057
Remain,Scottish National Party,Stuart Donaldson,S14000058
Remain,Scottish National Party,Martin Docherty,S14000059
Remain,Lab,Albert Owen,W07000041
Remain,Lab,David Hanson,W07000042
Remain,Lab,Mark Tami,W07000043
Remain,Lab,Ian Lucas,W07000044
Remain,Lab,Nia Griffith,W07000045
Remain,Con,Byron Davies,W07000046
Remain,Lab,Geraint Davies,W07000047
Remain,Lab,Carolyn Harris,W07000048
Remain,Lab,Stephen Kinnock,W07000049
Remain,Lab,Jo Stevens,W07000050
Remain,Con,Craig Williams,W07000051
Remain,Lab,Chris Bryant,W07000052
Remain,Lab,Nick Thomas-Symonds,W07000053
Leave,Con,David Davies,W07000054
Remain,Lab,Jessica Morden,W07000055
Remain,Lab,Paul Flynn,W07000056
Remain,Plaid Cymru,Hywel Williams,W07000057
Remain,Con,Guto Bebb,W07000058
Leave,Con,David Jones,W07000059
Leave,Con,James Davies,W07000060
Remain,Plaid Cymru,Liz Saville-Roberts,W07000061
Remain,Lab,Susan Elan Jones,W07000062
Leave,Con,Glyn Davies,W07000063
Remain,Liberal Democrat,Mark Williams,W07000064
Remain,Con,Stephen Crabb,W07000065
Remain,Con,Simon Hart,W07000066
Remain,Plaid Cymru,Jonathan Edwards,W07000067
Leave,Con,Chris Davies,W07000068
Remain,Lab,Christina Rees,W07000069
Remain,Lab,Ann Clwyd,W07000070
Remain,Lab,Gerald Jones,W07000071
Remain,Lab,Nick Smith,W07000072
Remain,Lab,Madeleine Moon,W07000073
Remain,Lab,Owen Smith,W07000075
Remain,Lab,Wayne David,W07000076
Remain,Lab,Chris Evans,W07000077
Remain,Con,Alun Cairns,W07000078
Remain,Lab,Kevin Brennan,W07000079
Remain,Lab,Stephen Doughty,W07000080
Leave,Con,Robert Courts,E14001046
Remain,Liberal Democrat,Sarah Olney,E14000896
Leave,Con,Caroline Johnson,E14000929
Remain,Lab,Tracy Brabin,E14000548
Remain,Lab,Gareth Snell,E14000972
Remain,Lab,Chris Elmore,W07000074
Remain,Lab,Rosena Allin-Khan,E14000998
Leave,Con,Trudy Harrison,E14000647
